Time	Velocity	RPM	Torque	Gear_Idx	Gear
7.31184017497528	101.6732141	5167.557841	201.9519435		
7.37033489637508	102.2235692	5196.173871	202.4951191		
7.42882961777488	102.768846	5224.788664	203.0133275		
7.48732433917469	103.3051188	5253.401995	203.5059132		
7.54581906057449	103.8361381	5282.014411	203.9716275		
7.60431378197429	104.3630684	5310.626101	204.409627		
7.66280850337409	104.8845161	5339.236433	204.8188584		
7.7213032247739	105.4039239	5367.845721	205.1982487		
7.7797979461737	105.9190186	5396.451465	205.5469736		
7.8382926675735	106.4320604	5425.064143	205.8638111		
7.8967873889733	106.9425736	5453.666116	206.1479696		
7.95528211037311	107.4503825	5481.292735	206.3902064		
8.01377683177291	107.9568302	5507.96249	206.5934297		
8.07227155317271	108.4601553	5527.589939	206.7232132		
8.13076627457251	108.9622001	5546.751029	206.8334716		
8.18926099597232	109.461827	5565.972729	206.9273687		
8.24775571737212	109.9593436	5585.17295	207.0040262		
8.30625043877192	110.4552362	5604.356161	207.0634335		
8.36474516017172	110.9479364	5623.530357	207.1053557		
8.42323988157152	111.4392363	5642.701506	207.1293182		
8.48173460297133	111.9270421	5661.866721	207.1350837		
8.54022932437113	112.4125062	5681.02867	207.1225146		
8.59872404577093	112.8951302	5700.186702	207.0913262		
8.65721876717073	113.3735118	5719.338909	207.0408866		
8.71571348857053	113.8496883	5738.48802	206.971212		
8.77420820997034	114.3195653	5757.627684	206.8818775		
8.83270293137014	114.7862344	5776.761951	206.7719965		
8.89119765276994	115.2468412	5795.885835	206.6406553		
8.94969237416974	115.7008104	5814.996482	206.4874224		
9.00818709556955	116.1497923	5834.096983	206.3115396		
9.06668181696935	116.586892	5853.168948	206.1120782	4	
9.12517653836915	117.0182759	5872.225053	205.8884697		
9.18367125976895	117.4347356	5891.236383	205.6405218		
9.24216598116876	117.839197	5910.200388	205.3674441		
9.30066070256856	118.2295519	5929.10749	205.0687191		
9.35915542396836	118.5944987	5947.879229	204.7456119		
9.41765014536816	118.9458212	5966.538389	204.397812		
9.47614486676796	119.2529704	5984.556416	204.0398654		
9.53463958816777	119.532482	6003.402157	203.6470578		
9.59313430956757	119.7604244	6023.208666	203.2186813		
9.65162903096737	119.9109729	5991.491428	203.8972402		
9.71012375236717	120.0075614	5919.655402	205.2213653		
9.76861847376698	120.0201074	5696.719528	207.098254		
9.82711319516678	120.0165647	5450.455158	206.117647		
9.88560791656658	120.0037241	5209.177143	202.7336798		
9.94410263796638	119.9912655	4967.090847	197.5379886		
10.0025973593662	119.9800038	4724.293563	191.1266143		
10.061092080766	119.9895944	4496.985837	184.5563659		
10.1195868021658	120.0168886	4289.929325	178.2456377		
10.1780815235656	120.1418652	4221.780325	176.0904851		
10.2365762449654	120.3104667	4186.339938	174.9530709		
10.2950709663652	120.5527592	4198.942411	175.3588919		
10.353565687765	120.8347834	4212.493082	175.7935505		
10.4120604091648	121.1424404	4226.162932	176.2303377		
10.4705551305646	121.4845613	4241.09788	176.7056074		
10.5290498519644	121.8376997	4256.340905	177.1886064		
10.5875445733642	122.211983	4272.010116	177.6829494		
10.646039294764	122.5960899	4287.833441	178.1799646		
10.7045340161638	122.9902744	4303.811389	178.6796339		
10.7630287375636	123.3948614	4319.919761	179.1811731		
10.8215234589634	123.8038741	4336.081669	179.6821815		
10.8800181803632	124.2217184	4352.338712	180.1839504		
10.938512901763	124.6427064	4368.626678	180.6844925		
10.9970076231628	125.0686356	4384.962458	181.1843275		
11.0555023445626	125.4982254	4401.33135	181.683047		
11.1139970659624	125.9301183	4417.720992	182.1802959		
11.1724917873622	126.3657125	4434.142949	182.6764466		
11.230986508762	126.8025361	4450.575685	183.170872		
11.2894812301618	127.2418012	4467.029898	183.6638832		
11.3479759515616	127.6822587	4483.495275	184.1552321		
11.4064706729614	128.1238867	4499.971695	184.6449453		
11.4649653943612	128.5666539	4516.460762	185.1330982		
11.523460115761	129.0098548	4532.955152	185.6195008		
